texto,rotulo
"Tenho fé em Deus e confiança em nossa organização para afirmar com muita certeza: nosso reencontro virá. E o Brasil poderá sonhar novamente com futuro melhor para todos. Muito obrigado, e vamos à luta, companheiros e companheiras. Um abraço do Lula!",esquerda
"Foi para entregar nossas riquezas e reverter as conquistas sociais. Que os comitês Lula Livre tenham isso bem claro e atuem cada vez mais na sociedade, nas redes, nas escolas e nas ruas.",esquerda
"E só vamos alcançar esses objetivos defendendo os direitos do povo e a soberania nacional, porque foi contra estes valores que fizeram o golpe e interferiram na eleição.",esquerda
"Mais do que manifestar indignação, quero dizer que o tempo está revelando a verdade. Que não podemos perder a esperança de que a verdade vencerá, e ela está do nosso lado. Por isso, peço a cada um que fortaleçam cada vez mais a nossa luta pela democracia e pela justiça.",esquerda
"Não se trata de convicções, mas de provas concretas: documentos assinados, atos de ofício de autoridades públicas. Estes moralistas sem moral ocupam hoje altos cargos no governo que só foi eleito porque eles impediram minha candidatura.",esquerda
"Minha candidatura era a resposta do povo ao entreguismo, ao abandono dos programas sociais, ao desemprego, à volta da fome, a todo o mal implantado pelo golpe do impeachment. É uma luta que temos de levar juntos, em nome de todos.",esquerda
"A luta que faço para ter um julgamento justo, em que minha inocência seja reconhecida diante das provas irrefutáveis, só faz sentido se for compreendida como parte da defesa da democracia, da retomada do estado de direito e do projeto de desenvolvimento com inclusão social.",esquerda
"Como sempre fiz em minha vida, e lá se vão mais de 45 anos de atividade sindical e política, encaro essa missão como um desafio coletivo.",esquerda
"Mas resisto principalmente porque sei que ainda tenho uma missão importante a cumprir neste momento em que a democracia, a soberania nacional e os direitos do povo brasileiro são ameaçados por interesses econômicos e políticos poderosos, inclusive de potências estrangeiras.",esquerda
"Falamos de igualdade e do direito à própria vida, das mulheres que lutam para existir. De onde me encontro, sigo em resistência pela construção da sociedade que sonhamos juntos, de um Brasil com oportunidades iguais para todos e todas.",esquerda
"Oito de março é dia de lembrar a luta das mulheres, que vivem um exercício de resistência diário, desde o momento que vem ao mundo. Dia de marcar posição frente aqueles que hoje no poder tentam deslegitimar a luta de quem tem como ideal a igualdade de direitos.",esquerda
"A melhor forma de resolver o problema da Previdência é gerar empregos. Quanto mais emprego, mais salários, mais contribuições e menos déficit. Na minha época havia superávit.",esquerda
"Não podemos permitir a submissão do Brasil aos EUA. Maduro é um problema dos venezuelanos, não dos americanos. Falam em fome mas não falam no Bloqueio, que mata crianças, homens e mulheres inocentes.",esquerda
"Eles precisam é apresentar um pacote pra salvar o Brasil. Simples: medidas que gerem emprego, renda e educação.",esquerda
"Pobre Brasil. Um ministro apresenta um pacote pra combater o crime. Outro promete um pacote que vai aumentar a desigualdade e, por consequência, a criminalidade, que é a Reforma da Previdência.",esquerda
Era melhor ter armado a população com carteira de trabalho e livros.,esquerda
"Era para isso que eu queria ser presidente: para matar a fome do povo, dar oportunidade, dignidade e autoestima. Por isso digo para vocês: não baixem a cabeça jamais.",esquerda
"Meu governo começou assim, e começaria assim de novo. Nunca vou esquecer minha emoção com o depoimento de uma companheira catadora que disse que o mais importante que eu fiz para ela foi ela ter orgulho da profissão dela, de andar de cabeça erguida, de ter dignidade.",esquerda
"Todo o ano como presidente da República, eu fiz questão de participar do Natal dos Catadores, para lembrar a sociedade que o governo deve cuidar de todos, mas ter um olhar especial para quem precisa mais, para o trabalhador.",esquerda
"Ainda iremos construir um mundo de paz e fraternidade, onde todos e todas, sem exceção tenham direito a uma vida digna.",esquerda
"Temos de voltar às ruas, às fábricas, aos bairros e favelas, falar a linguagem do povo, nos reconectar com as bases, como disse o . Não podemos ter medo do futuro porque aprendemos que o impossível não existe.",esquerda
