texto,rotulo,texto_limpo
"Tenho fé em Deus e confiança em nossa organização para afirmar com muita certeza: nosso reencontro virá. E o Brasil poderá sonhar novamente com futuro melhor para todos. Muito obrigado, e vamos à luta, companheiros e companheiras. Um abraço do Lula!",esquerda,fé deus confiança organização afirmar muita certeza reencontro virá brasil poderá sonhar novamente futuro melhor todos obrigado vamos luta companheiros companheiras abraço lula
"Foi para entregar nossas riquezas e reverter as conquistas sociais. Que os comitês Lula Livre tenham isso bem claro e atuem cada vez mais na sociedade, nas redes, nas escolas e nas ruas.",esquerda,entregar riquezas reverter conquistas sociais comitês lula livre bem claro atuem cada vez sociedade redes escolas ruas
"E só vamos alcançar esses objetivos defendendo os direitos do povo e a soberania nacional, porque foi contra estes valores que fizeram o golpe e interferiram na eleição.",esquerda,vamos alcançar objetivos defendendo direitos povo soberania nacional porque contra valores fizeram golpe interferiram eleição
"Mais do que manifestar indignação, quero dizer que o tempo está revelando a verdade. Que não podemos perder a esperança de que a verdade vencerá, e ela está do nosso lado. Por isso, peço a cada um que fortaleçam cada vez mais a nossa luta pela democracia e pela justiça.",esquerda,manifestar indignação quero dizer tempo revelando verdade podemos perder esperança verdade vencerá lado peço cada fortaleçam cada vez luta democracia justiça
"Não se trata de convicções, mas de provas concretas: documentos assinados, atos de ofício de autoridades públicas. Estes moralistas sem moral ocupam hoje altos cargos no governo que só foi eleito porque eles impediram minha candidatura.",esquerda,trata convicções provas concretas documentos assinados atos ofício autoridades públicas moralistas moral ocupam hoje altos cargos governo eleito porque impediram candidatura
"Minha candidatura era a resposta do povo ao entreguismo, ao abandono dos programas sociais, ao desemprego, à volta da fome, a todo o mal implantado pelo golpe do impeachment. É uma luta que temos de levar juntos, em nome de todos.",esquerda,candidatura resposta povo entreguismo abandono programas sociais desemprego volta fome todo mal implantado golpe impeachment luta levar juntos nome todos
"A luta que faço para ter um julgamento justo, em que minha inocência seja reconhecida diante das provas irrefutáveis, só faz sentido se for compreendida como parte da defesa da democracia, da retomada do estado de direito e do projeto de desenvolvimento com inclusão social.",esquerda,luta faço ter julgamento justo inocência reconhecida diante provas irrefutáveis faz sentido compreendida parte defesa democracia retomada estado direito projeto desenvolvimento inclusão social
"Como sempre fiz em minha vida, e lá se vão mais de 45 anos de atividade sindical e política, encaro essa missão como um desafio coletivo.",esquerda,sempre fiz vida lá vão anos atividade sindical política encaro missão desafio coletivo
"Mas resisto principalmente porque sei que ainda tenho uma missão importante a cumprir neste momento em que a democracia, a soberania nacional e os direitos do povo brasileiro são ameaçados por interesses econômicos e políticos poderosos, inclusive de potências estrangeiras.",esquerda,resisto principalmente porque sei ainda missão importante cumprir neste momento democracia soberania nacional direitos povo brasileiro ameaçados interesses econômicos políticos poderosos inclusive potências estrangeiras
"Falamos de igualdade e do direito à própria vida, das mulheres que lutam para existir. De onde me encontro, sigo em resistência pela construção da sociedade que sonhamos juntos, de um Brasil com oportunidades iguais para todos e todas.",esquerda,falamos igualdade direito própria vida mulheres lutam existir onde encontro sigo resistência construção sociedade sonhamos juntos brasil oportunidades iguais todos todas
"Oito de março é dia de lembrar a luta das mulheres, que vivem um exercício de resistência diário, desde o momento que vem ao mundo. Dia de marcar posição frente aqueles que hoje no poder tentam deslegitimar a luta de quem tem como ideal a igualdade de direitos.",esquerda,oito março dia lembrar luta mulheres vivem exercício resistência diário desde momento vem mundo dia marcar posição frente hoje poder tentam deslegitimar luta ideal igualdade direitos
"A melhor forma de resolver o problema da Previdência é gerar empregos. Quanto mais emprego, mais salários, mais contribuições e menos déficit. Na minha época havia superávit.",esquerda,melhor forma resolver problema previdência gerar empregos quanto emprego salários contribuições menos déficit época havia superávit
"Não podemos permitir a submissão do Brasil aos EUA. Maduro é um problema dos venezuelanos, não dos americanos. Falam em fome mas não falam no Bloqueio, que mata crianças, homens e mulheres inocentes.",esquerda,podemos permitir submissão brasil eua maduro problema venezuelanos americanos falam fome falam bloqueio mata crianças homens mulheres inocentes
"Eles precisam é apresentar um pacote pra salvar o Brasil. Simples: medidas que gerem emprego, renda e educação.",esquerda,precisam apresentar pacote pra salvar brasil simples medidas gerem emprego renda educação
"Pobre Brasil. Um ministro apresenta um pacote pra combater o crime. Outro promete um pacote que vai aumentar a desigualdade e, por consequência, a criminalidade, que é a Reforma da Previdência.",esquerda,pobre brasil ministro apresenta pacote pra combater crime outro promete pacote vai aumentar desigualdade consequência criminalidade reforma previdência
Era melhor ter armado a população com carteira de trabalho e livros.,esquerda,melhor ter armado população carteira trabalho livros
"Era para isso que eu queria ser presidente: para matar a fome do povo, dar oportunidade, dignidade e autoestima. Por isso digo para vocês: não baixem a cabeça jamais.",esquerda,queria presidente matar fome povo dar oportunidade dignidade autoestima digo baixem cabeça jamais
"Meu governo começou assim, e começaria assim de novo. Nunca vou esquecer minha emoção com o depoimento de uma companheira catadora que disse que o mais importante que eu fiz para ela foi ela ter orgulho da profissão dela, de andar de cabeça erguida, de ter dignidade.",esquerda,governo começou assim começaria assim novo nunca vou esquecer emoção depoimento companheira catadora disse importante fiz ter orgulho profissão andar cabeça erguida ter dignidade
"Todo o ano como presidente da República, eu fiz questão de participar do Natal dos Catadores, para lembrar a sociedade que o governo deve cuidar de todos, mas ter um olhar especial para quem precisa mais, para o trabalhador.",esquerda,todo ano presidente república fiz questão participar natal catadores lembrar sociedade governo deve cuidar todos ter olhar especial precisa trabalhador
"Ainda iremos construir um mundo de paz e fraternidade, onde todos e todas, sem exceção tenham direito a uma vida digna.",esquerda,ainda iremos construir mundo paz fraternidade onde todos todas exceção direito vida digna
"Temos de voltar às ruas, às fábricas, aos bairros e favelas, falar a linguagem do povo, nos reconectar com as bases, como disse o . Não podemos ter medo do futuro porque aprendemos que o impossível não existe.",esquerda,voltar ruas fábricas bairros favelas falar linguagem povo reconectar bases disse podemos ter medo futuro porque aprendemos impossível existe
"Queremos e devemos atuar em conjunto com todas as forças da esquerda, da centro-esquerda e do campo democrático, num exercício cotidiano de resistência.",esquerda,queremos devemos atuar conjunto todas forças esquerda centro esquerda campo democrático exercício cotidiano resistência
"O PT nasceu na oposição, para defender a democracia e os direitos do povo, em tempos ainda mais difíceis que os de hoje. É isso que temos de voltar a fazer agora, com o respaldo dos nossos 47 milhões de votos, com a responsabilidade de sermos o maior partido político do país.",esquerda,pt nasceu oposição defender democracia direitos povo tempos ainda difíceis hoje voltar fazer agora respaldo milhões votos responsabilidade sermos maior partido político país
"O povo brasileiro nos deu a missão de manter acesa a chama da esperança, o que significa a defesa da democracia, do patrimônio nacional, dos direitos dos trabalhadores e do povo que mais precisa.",esquerda,povo brasileiro deu missão manter acesa chama esperança significa defesa democracia patrimônio nacional direitos trabalhadores povo precisa
"Se há divergências entre nós, vamos enfrentá-las por meio do debate, do argumento, do voto. Não temos o direito de abandonar o pacto social da Constituição de 1988. Não podemos deixar que o desespero leve o Brasil na direção de uma aventura fascista.",esquerda,divergências vamos enfrentá las meio debate argumento voto direito abandonar pacto social constituição podemos deixar desespero leve brasil direção aventura fascista
"Neste momento em que uma ameaça fascista paira sobre o Brasil, quero chamar todos e todas que defendem a democracia a se juntar ao nosso povo mais sofrido, aos trabalhadores da cidade e do campo, à sociedade civil organizada, para defender o estado democrático de direito.",esquerda,neste momento ameaça fascista paira sobre brasil quero chamar todos todas defendem democracia juntar povo sofrido trabalhadores cidade campo sociedade civil organizada defender estado democrático direito
"Tenho muito orgulho do legado que deixamos para o país, especialmente do compromisso com a democracia. Nosso partido nasceu na resistência à ditadura e na luta pela redemocratização do país, que tanto sacrifício, tanto sangue e tantas vidas nos custou.",esquerda,orgulho legado deixamos país especialmente compromisso democracia partido nasceu resistência ditadura luta redemocratização país tanto sacrifício tanto sangue tantas vidas custou
"Talvez odeiem o PT porque nunca antes o Brasil foi tão respeitado, com uma política externa que não falava grosso com a Bolívia nem falava fino com os EUA. Um país que foi reconhecido internacionalmente por ter promovido uma vida melhor para seu povo em absoluta democracia.",esquerda,talvez odeiem pt porque nunca antes brasil tão respeitado política externa falava grosso bolívia falava fino eua país reconhecido internacionalmente ter promovido vida melhor povo absoluta democracia
Será que nos odeiam porque promovemos o diálogo e a participação social na definição e implantação de políticas públicas pela primeira vez neste país? Será que odeiam o PT porque jamais interferimos na liberdade de imprensa e de expressão?,esquerda,odeiam porque promovemos diálogo participação social definição implantação políticas públicas primeira vez neste país odeiam pt porque jamais interferimos liberdade imprensa expressão
"Será que odeiam o PT porque abrimos as portas do Palácio do Planalto aos pobres, aos negros, às mulheres, ao povo LGBTI, aos sem-teto, aos sem-terra, aos hansenianos, aos quilombolas, a todos e todas que foram discriminados e esquecidos ao longo de séculos?",esquerda,odeiam pt porque abrimos portas palácio planalto pobres negros mulheres povo lgbti teto terra hansenianos quilombolas todos todas discriminados esquecidos longo séculos
"Ou talvez porque realizamos o sonho da casa própria para 3 milhões de famílias em todo o país, cumprindo uma obrigação que os governos anteriores nunca assumiram.",esquerda,talvez porque realizamos sonho casa própria milhões famílias todo país cumprindo obrigação governos anteriores nunca assumiram
"Talvez odeiem o PT porque fizemos uma revolução silenciosa no Nordeste, levando água para quem sofria com a seca, levando luz para quem vivia nas trevas, levando oportunidades, estaleiros, refinarias e indústrias para a região.",esquerda,talvez odeiem pt porque fizemos revolução silenciosa nordeste levando água sofria seca levando luz vivia trevas levando oportunidades estaleiros refinarias indústrias região
"Talvez nos odeiem porque investimos na exploração do pré-sal e transformamos a Petrobrás numa das maiores petrolíferas do mundo, impulsionando nossa indústria naval e a cadeia produtiva do óleo e gás.",esquerda,talvez odeiem porque investimos exploração pré sal transformamos petrobrás maiores petrolíferas mundo impulsionando indústria naval cadeia produtiva óleo gás
"Talvez nos odeiem porque promovemos o maior ciclo de desenvolvimento econômico com inclusão social, porque multiplicamos o PIB por 5, porque multiplicamos o comércio exterior por 4.",esquerda,talvez odeiem porque promovemos maior ciclo desenvolvimento econômico inclusão social porque multiplicamos pib porque multiplicamos comércio exterior
"Ou será que nos odeiam porque abrimos as portas da Universidade para quase 4 milhões de alunos de escolas públicas, de negros e indígenas?",esquerda,odeiam porque abrimos portas universidade quase milhões alunos escolas públicas negros indígenas
"Porque criamos 20 milhões de empregos com carteira assinada, em 12 anos, e elevamos o valor do salário mínimo em 74%? Será que nos odeiam porque fortalecemos o SUS, criamos as UPAS e o SAMU que salvam milhares de vidas todos os dias?",esquerda,porque criamos milhões empregos carteira assinada anos elevamos valor salário mínimo odeiam porque fortalecemos sus criamos upas samu salvam milhares vidas todos dias
"Mas fico pensando, todos os dias: por que tanto ódio contra o PT? Será que nos odeiam porque tiramos 36 milhões de pessoas da miséria e levamos mais de 40 milhões à classe média? Porque tiramos o Brasil do Mapa da Fome?",esquerda,fico pensando todos dias tanto ódio contra pt odeiam porque tiramos milhões pessoas miséria levamos milhões classe média porque tiramos brasil mapa fome
"O povo sabe e a história vai registrar o que fizemos para vencer a fome, superar a miséria, gerar empregos, valorizar o salário, criar oportunidades, abrir escolas e universidades para os jovens, defender a soberania nacional e fazer do Brasil um país respeitado em todo o mundo.",esquerda,povo sabe história vai registrar fizemos vencer fome superar miséria gerar empregos valorizar salário criar oportunidades abrir escolas universidades jovens defender soberania nacional fazer brasil país respeitado todo mundo
