texto,label,texto_limpo
"In <EGGERTJ.93May9230207@moses.ll.mit.edu> eggertj@moses.ll.mit.edu


When I was in Jerusalem a couple of years ago, our guide told
us the story of that mosque - not sure if it was true.

Apparently, it was built by a Jewish convert to Islam.  He had
had a dispute with his neighbours, and built the mosque ""davka"" to
annoy them.  It's a cute story, but not sure if it's true...",1,eggertjmosesllmitedu jerusalem couple years ago guide told us story mosque sure true apparently built jewish convert islam dispute neighbours built mosque davka annoy cute story sure true
"In <C601ED.CD6@cpqhou.se.hou.compaq.com>, thomasr@cpqhou.se.hou.compaq.com sez:

This is all terribly interesting, but it doesn't belong in misc.legal.
Take it elsewhere, please.

-- 
        Have you hugged your common nucleus of operative fact today?",0,thomasrcpqhousehoucompaqcom sez terribly interesting doesnt belong misclegal take elsewhere please hugged common nucleus operative fact today
"According to the NY Times, the 4 islands ""belong[] to the United Arab
Emirates."" 


Why is it, then, that when the British, Iranians and UAE refer to
Occupied Territory, they mean territory in dispute in Israel but not
in their own affairs?",1,according ny times islands belong united arab emirates british iranians uae refer occupied territory mean territory dispute israel affairs
"If they hadn't killed the ATF people in the original raid, I think I would 
laugh my ass off.  (Actually, to be honest, I still might.)",0,hadnt killed atf people original raid think would laugh ass actually honest still might
"\input amstex
\documentstyle{amsppt}
\pagewidth{6.5in}
\magnification=1200
\pageheight{7.5in}
\
\title {Letter to the Editor} \endtitle
\author {Matthew L. Fante} \endauthor
\date {April 20, 1993} \enddate
\endtopmatter

pull back the heavens and show you my anger?! ... fear me.''  The 51 day
standoff between federal agents and the Branch Davidians ended on April 19
in what appeared to be a mass suicide by fire.  Now that the multi-million
dollar standoff is over, a few things remain: cleaning up the mess, and
assigning blame.

\

From the onset of the April 19 tear gas attacks by federal agents, President
Clinton already started passing the buck by saying ``Talk to the attorney
general or the FBI... I knew it was going to be done, but the decision was
{\it entirely theirs}.  {\it They} made the tactical decision.'' Enter
Attorney General Janet Reno.  After most of the Branch Davidians died,
Reno said she took ``full responsibility'' for the decision.  ``I approved
the plan'' she said adding that she ``did not advise him [Clinton] as to the
details.''  In fact, she told Clinton that it was ``the best way to go.''
As the fire was roaring through the Branch Davidian's compound Clinton said
that he was ``deeply sadened by the loss of life'' and in the same breath that
``the law enforcement agencies involved in the Waco siege recommended the
course of action pursued today.''  Later he went on to say ``I stand by that
[Reno's] decision.''

\

How did this all begin?  At 0930 on February 28 agents of the Bureau of
Alcohol, Tobacco and Firearms (BATF) launched a full-scale, high-profile
assault on the Branch Davidian's compound.  This raid was much
more than an assault on a group suspected of possessing illegal weapons.  The
assault was a planned media circus used as a propaganda device of the BATF
to show their might and just purpose.

\

At the onset of the ``no-knock'' raid, gaggles of heavily armed BATF agents
made their way inside the compound without identifying themselves or state
that they had a warrant until long after the shooting began.
Silently, the agents made their way to the compound's buildings and started
their ``search'' by charging at the buildings and throwing concussion grenades
and ordering the cult members to come out of the buildings.

\

If unknown persons dressed in black ninja costumes and combat fatigues
were to attack you, throwing grenades and brandishing firearms, would you not
assume that these people are criminals and attempt to defend yourself?  The
tactics employed by the BATF provoked the battle.

\

The initial assualt by the BATF was not successful.  Unfortunately, lives
were lost on both sides.  But, had the assault been a success, the liberal
media would have praised the BATF by showing the footage of BATF agents
carting away a bunch of gun-wielding religious nuts.  Of course, any
violation of the cult's rights would have been overlooked and the media
would proclaim America's fortune in having super-cop organizations like the
BATF that can systematically ``take out'' terroristic groups such as the
Branch Davidians.

\

As far as I can see, the BATF and the FBI dropped the ball - just like
Philadelphia did in the 1985 MOVE crisis which left 11 dead, 250 homeless,
and a city block razed.
It appears that the BATF has adopted the shoot-first tactic of no-knock
raids to execute search warrants.  Don't let the BATF convince you that
the no-knock raid was justified.  No-knock assaults make sense when looking
for, say, drugs that can easily be hidden or disposed of in a few seconds.
The BATF was looking for illegal weapons, not drugs that could be hidden or
flushed down the toilet in a matter of a few seconds.  What ever happened to
``This is the police!  You are surrounded...''?  {\it This policy of no-knock
raids, by federal and local agencies, should be restricted}.  Further, the use
of military firepower against presumed innocent citizens is a very scary idea,
and is why the Davidians were justified in using lethal force to ensure that
their fourth ammendment rights [``the right of the people to be secure in
their persons, houses, papers, and effects, against unreasonable searches
and seizures''] are not denied.

\

\

\

\noindent Matthew L. Fante \newline
\end











-- 
____________________________________________________________________
Matthew Fante
mlf3@Lehigh.EDU             For a good prime call 2^756839 - 1",0,input amstex documentstyleamsppt pagewidthin magnification pageheightin title letter editor endtitle author matthew l fante endauthor date april enddate endtopmatter pull back heavens show anger fear day standoff federal agents branch davidians ended april appeared mass suicide fire multi million dollar standoff things remain cleaning mess assigning blame onset april tear gas attacks federal agents president clinton already started passing buck saying talk attorney general fbi knew going done decision entirely made tactical decision enter attorney general janet reno branch davidians died reno said took full responsibility decision approved plan said adding advise clinton details fact told clinton best way go fire roaring branch davidians compound clinton said deeply sadened loss life breath law enforcement agencies involved waco siege recommended course action pursued today later went say stand renos decision begin february agents bureau alcohol tobacco firearms batf launched full scale high profile assault branch davidians compound raid much assault group suspected possessing illegal weapons assault planned media circus used propaganda device batf show might purpose onset knock raid gaggles heavily armed batf agents made way inside compound without identifying state warrant long shooting began silently agents made way compounds buildings started search charging buildings throwing concussion grenades ordering cult members come buildings unknown persons dressed black ninja costumes combat fatigues attack throwing grenades brandishing firearms would assume people criminals attempt defend tactics employed batf provoked battle initial assualt batf successful unfortunately lives lost sides assault success liberal media would praised batf showing footage batf agents carting away bunch gun wielding religious nuts course violation cults rights would overlooked media would proclaim americas fortune super cop organizations like batf systematically take terroristic groups branch davidians far see batf fbi dropped ball like philadelphia move crisis left dead homeless city block razed appears batf adopted shoot first tactic knock raids execute search warrants dont let batf convince knock raid justified knock assaults make sense looking say drugs easily hidden disposed seconds batf looking illegal weapons drugs could hidden flushed toilet matter seconds ever happened police surrounded policy knock raids federal local agencies restricted use military firepower presumed innocent citizens scary idea davidians justified using lethal force ensure fourth ammendment rights right people secure persons houses papers effects unreasonable searches seizures denied noindent matthew l fante newline end matthew fante mlflehighedu good prime call
"16. What is the condition of the propane tank mentioned by the BD
survivors? I.e. is it crushed and does it have tread marks on it?
-- 
Dave Feustel N9MYI <feustel@netcom.com>",0,condition propane tank mentioned bd survivors ie crushed tread marks dave feustel nmyi
"Yes, the local sheriff stated that anytime he wanted to talk to Koresh, all
he had to do was call him and Koresh would come down.



Full agree with you here.  I think its ridiculous that he did not even talk
to Janet Reno until sometime Tuesday, however, he did talk with Wendell
Hubbel(?).  So who really is the Attorney General????


Hopefully the investigation will answer some of these bizarre questions.",0,yes local sheriff stated anytime wanted talk koresh call koresh would come full agree think ridiculous even talk janet reno sometime tuesday however talk wendell hubbel really attorney general hopefully investigation answer bizarre questions
"Steve,

If the Israelis are stupid enough to ""allow"" a second ""Palestinian""
state (the first one is Jordon), then you will probably get your
wish - and the Israelis would get what's coming to them.

However, if the ""Palestinians"" were to somehow demonstrate that 
they could govern themselves AND live in peace with their 
Jewish neighbors, then they would have to give up the idea of
Jerusalem as a part of their state - and you would be disappointed.



Yashir Koach to this.",1,steve israelis stupid enough allow second palestinian state first one jordon probably get wish israelis would get whats coming however palestinians somehow demonstrate could govern live peace jewish neighbors would give idea jerusalem part state would disappointed yashir koach
"This is the point we seem to disagree about. Not a chance.


Well, ""Arromdian"" of ASALA/SDPA/ARF Terrorism and Revisionism Triangle
is a compulsive liar. Now try dealing with the rest of what I wrote.

U.S. Ambassador Bristol:

Source: ""U.S. Library of Congress:"" 'Bristol Papers' - General Correspondence
Container #34.

 ""While the Dashnaks were in power they did everything in the world to keep the
  pot boiling by attacking Kurds, Turks and Tartars; by committing outrages
  against the Moslems; by massacring the Moslems; and robbing and destroying
  their homes;....During the last two years the Armenians in Russian Caucasus
  have shown no ability to govern themselves and especially no ability to 
  govern or handle other races under their power.""

A Kurdish scholar:

Source: Hassan Arfa, ""The Kurds,"" (London, 1968), pp. 25-26.

 ""When the Russian armies invaded Turkey after the Sarikamish disaster 
  of 1914, their columns were preceded by battalions of irregular 
  Armenian volunteers, both from the Caucasus and from Turkey. One of 
  these was commanded by a certain Andranik, a blood-thirsty adventurer.
  These Armenian volunteers committed all kinds of excesses, more
  than six hundred thousand Kurds being killed between 1915 and 1916 in 
  the eastern vilayets of Turkey.""


Serdar Argic",1,point seem disagree chance well arromdian asala sdpa arf terrorism revisionism triangle compulsive liar try dealing rest wrote us ambassador bristol source us library congress bristol papers general correspondence container dashnaks power everything world keep pot boiling attacking kurds turks tartars committing outrages moslems massacring moslems robbing destroying homesduring last two years armenians russian caucasus shown ability govern especially ability govern handle races power kurdish scholar source hassan arfa kurds london pp russian armies invaded turkey sarikamish disaster columns preceded battalions irregular armenian volunteers caucasus turkey one commanded certain andranik blood thirsty adventurer armenian volunteers committed kinds excesses six hundred thousand kurds killed eastern vilayets turkey serdar argic
"....

Thanks for posting the references. I do not normally read t.p.m.,
and I posted my request for references because Jim's article
was cross-posted to soc.culture.jewish. Allegations of Jewish
disrespect for the objects and buildings of other religions are
one of antisemitic stereotypes that permeate western culture, and
rumors of church and Host desacration probably caused more pogroms
than blood libel. The stereotypes that pervade our culture create
cognitive illusions that reify those stereotypes. Therefore any
claim that appears to reify a stereotype should be treated by
decent people with utmost suspicion until and unless documented.
If such a claim is cross-posted to a news group in which it has
not been documented before, such as s.c.j, a reference should be
given the first time it appears.  Now that the claim has been
documented, I regard the whole episode as disgusting and
shameful. Especially so because the official who failed to
provide proper temporary facilities for the evicted Jordanians
was probably Jewish, and as a Jew I know that he should have
known better.",1,thanks posting references normally read tpm posted request references jims article cross posted socculturejewish allegations jewish disrespect objects buildings religions one antisemitic stereotypes permeate western culture rumors church host desacration probably caused pogroms blood libel stereotypes pervade culture create cognitive illusions reify stereotypes therefore claim appears reify stereotype treated decent people utmost suspicion unless documented claim cross posted news group documented scj reference given first time appears claim documented regard whole episode disgusting shameful especially official failed provide proper temporary facilities evicted jordanians probably jewish jew know known better
